Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
MPVH2SQ3,journalArticle,2023,"Ha, Duc M.; Comer, Angela; Dollar, Blythe; Bedoy, Ruth; Ford, Morgan; Gozansky, Wendolyn S.; Zeng, Chan; Arch, Joanna J.; Leach, Heather J.; Malhotra, Atul; Prochazka, Allan V.; Keith, Robert L.; Boxer, Rebecca S.",Telemedicine-based inspiratory muscle training and walking promotion with lung cancer survivors following curative intent therapy: a parallel-group pilot randomized trial,Supportive Care in Cancer,,0941-4355,10.1007/s00520-023-07999-7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10474183/,"Purpose Following curative-intent therapy of lung cancer, many survivors experience dyspnea and physical inactivity. We investigated the feasibility, acceptability, safety, and potential efficacy of inspiratory muscle training (IMT) and walking promotion to disrupt a postulated “dyspnea-inactivity” spiral. Methods Between January and December 2022, we recruited lung cancer survivors from Kaiser Permanente Colorado who completed curative-intent therapy within 1–6 months into a phase-IIb, parallel-group, pilot randomized trial (1:1 allocation). The 12-week intervention, delivered via telemedicine, consisted of exercise training (IMT + walking), education, and behavior change support. Control participants received educational materials on general exercise. We determined feasibility a priori: enrollment of ≥ 20% eligible patients, ≥ 75% retention, study measure completion, and adherence. We assessed acceptability using the Telemedicine-Satisfaction-and-Usefulness-Questionnaire and safety events that included emergency department visits or hospitalizations. Patient-centered outcome measures (PCOMs) included dyspnea (University-of-California-San-Diego-Shortness-of-Breath-Questionnaire), physical activity (activPAL™ steps/day), functional exercise capacity (mobile-based-six-minute-walk-test), and health-related quality of life (HRQL, St.-George’s-Respiratory-Questionnaire). We used linear mixed-effects models to assess potential efficacy. Results We screened 751 patients, identified 124 eligible, and consented 31 (25%) participants. Among 28 participants randomized (14/group), 22 (11/group) completed the study (79% retention). Intervention participants returned > 90% of self-reported activity logs, completed > 90% of PCOMs, and attended > 90% of tele-visits; 75% of participants performed IMT at the recommended dose. Participants had high satisfaction with tele-visits and found the intervention useful. There was no statistically significant difference in safety events between groups. Compared to control participants from baseline to follow-up, intervention participants had statistically significant and clinically meaningful improved HRQL (SGRQ total, symptom, and impact scores) (standardized effect size: -1.03 to -1.30). Conclusions Among lung cancer survivors following curative-intent therapy, telemedicine-based IMT + walking was feasible, acceptable, safe, and had potential to disrupt the “dyspnea-inactivity” spiral. Future efficacy/effectiveness trials are warranted and should incorporate IMT and walking promotion to improve HRQL., Trial Registration: ClinicalTrials.gov NCT05059132. Supplementary information The online version contains supplementary material available at 10.1007/s00520-023-07999-7.",2023,10/7/2024 15:20,10/7/2024 15:20,10/7/2024 15:20,546,,9,31,,Support Care Cancer,Telemedicine-based inspiratory muscle training and walking promotion with lung cancer survivors following curative intent therapy,,,,,,,,,,,,PubMed Central,,PMID: 37656252 PMCID: PMC10474183,,C:\Users\polly\Zotero\storage\7TQMK86L\Ha et al. - 2023 - Telemedicine-based inspiratory muscle training and walking promotion with lung cancer survivors foll.pdf; ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10474183/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4T2DU4F4,journalArticle,2024,"Asensio-Cuesta, Sabina; Sánchez-García, Ángel; Soria Comes, Teresa; Maestu, Inmaculada; Martín Ureste, Maria; Conejero, J. Alberto; García-Gómez, Juan M.",Testing Lung Cancer Patients’ and Oncologists’ Experience with the Lalaby App for Monitoring the Quality of Life through Mobile Sensors and Integrated Questionnaires,International Journal of Human–Computer Interaction,,1044-7318,10.1080/10447318.2022.2121561,https://doi.org/10.1080/10447318.2022.2121561,"As there is now a growing interest in mHealth apps for cancer patients, we here present and test the Lalaby App to monitor lung cancer patients’ Quality of life (QoL) through mobile sensors and integrated questionnaires. The app was used in a 2-week study to register two lung cancer patients’ activity without problems or interruptions. The patients frequently reported activities, symptoms, and questionnaires, indicating their engagement with the app. They registered their experience through the UEQ-S integrated into the app. Patient 1 mainly reported a neutral experience, while Patient 2 found it highly positive. They considered the app leading-edge and helpful and would recommend it to others, while both patients valued it positively (3.72 and 4.64 on a scale of 1–5). The app’s aesthetics and its notifications helped their engagement. We found correlations between sensors’ data and patients’ QoL. We also detected QoL and functional status variations after treatment for both patients. After a “Tasks Test,” two oncologists assessed the app’s dashboard usability as excellent (SUS scores 85 and 87.5 on a 0–100 scale), easy-to-use and helpful. Their experience was positive (UEQ-S overall scale 2.81 (mean), −3 to +3 scale). The app allows monitoring the QoL of lung cancer patients remotely and in real-time while controlling patients’ experience to stop the use if necessary, avoiding overwhelm.",2/1/2024,10/7/2024 15:26,10/7/2024 15:26,10/7/2024 15:26,640-650,,3,40,,,,,,,,,,,,,,,Taylor and Francis+NEJM,,Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/10447318.2022.2121561,,C:\Users\polly\Zotero\storage\EE57EMUJ\Asensio-Cuesta et al. - 2024 - Testing Lung Cancer Patients’ and Oncologists’ Experience with the Lalaby App for Monitoring the Qua.epub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS4RKZ8R,journalArticle,2019,"Park, Sojung; Kim, Ji Youn; Lee, Jae Cheol; Kim, Hyeong Ryul; Song, Seungjae; Kwon, Hee; Ji, Wonjun; Choi, Chang Min",Mobile Phone App–Based Pulmonary Rehabilitation for Chemotherapy-Treated Patients With Advanced Lung Cancer: Pilot Study,JMIR mHealth and uHealth,,,10.2196/11094,https://mhealth.jmir.org/2019/2/e11094,"Background: Advanced lung cancer patients often have chronic lung disease with reduced exercise capacities and various symptoms leading to altered quality of life (QoL). No studies have assessed pulmonary rehabilitation (PR) employing a mobile app and an Internet of Things device in advanced lung cancer patients undergoing chemotherapy. Objective: This study aimed to determine the feasibility and efficacy of smartphone app–based PR on exercise capacity, symptom management, and QoL in patients with advanced lung cancer undergoing chemotherapy. Methods: A total of 100 patients were recruited in a prospective, single-arm intervention study using a smartphone app–based PR program for 12 weeks. Exercise capacity (6-min walking distance, 6MWD), QoL, symptom scale scores, and distress indexes were investigated. Results: A total of 90 patients completed the PR program. The most common cause of drop out was hospitalization because of cancer progression. After PR, there was significant improvement in the 6MWD; 380.1 m (SD 74.1) at baseline, 429.1 m (SD 58.6) at 6 weeks (P<.001), and 448.1 m (SD 50.0) at 12 weeks (P<.001). However, the dyspnea scale score showed no significant improvement in the patients overall, but there was a trend for improvement in those with a stable tumor response (P=.07). Role (P=.02), emotional (P<.001), and social functioning (P=.002) scale scores showed significant improvement after PR. Symptom scale scores for fatigue (P<.001), anorexia (P=.047), and diarrhea (P=.01) also showed significant improvement. There was significant improvement in depression (P=.048) and anxiety (P=.01), whereas there was no significant change in QoL (P=.06) and severity of pain (P=.24). Conclusions: Smartphone app–based PR represents an effective and feasible program to improve exercise capacity and to manage symptoms and distress in patients with advanced lung cancer who are undergoing chemotherapy.",2/4/2019,10/7/2024 15:27,10/7/2024 15:27,10/7/2024 15:27,e11094,,2,7,,,Mobile Phone App–Based Pulmonary Rehabilitation for Chemotherapy-Treated Patients With Advanced Lung Cancer,,,,,,,EN,"Unless stated otherwise, all articles are open-access distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work (""first published in JMIR mHealth and uHealth..."") is properly cited with original URL and bibliographic citation information. The complete bibliographic information, a link to the original publication on http://mhealth.jmir.org/, as well as this copyright and license information must be included.",,,,mhealth.jmir.org,,"Company: JMIR mHealth and uHealth Distributor: JMIR mHealth and uHealth Institution: JMIR mHealth and uHealth Label: JMIR mHealth and uHealth Publisher: JMIR Publications Inc., Toronto, Canada",,C:\Users\polly\Zotero\storage\3TS3MCQB\Park et al. - 2019 - Mobile Phone App–Based Pulmonary Rehabilitation for Chemotherapy-Treated Patients With Advanced Lung.pdf; C:\Users\polly\Zotero\storage\VZWUPNB9\e11094.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZ56IYNT,journalArticle,2016,"Timmerman, Josien G.; Tönis, Thijs M.; Dekker-van Weering, Marit G. H.; Stuiver, Martijn M.; Wouters, Michel W. J. M.; van Harten, Wim H.; Hermens, Hermie J.; Vollenbroek-Hutten, Miriam M. R.",Co-creation of an ICT-supported cancer rehabilitation application for resected lung cancer survivors: design and evaluation,BMC Health Services Research,,1472-6963,10.1186/s12913-016-1385-7,https://doi.org/10.1186/s12913-016-1385-7,"Lung cancer (LC) patients experience high symptom burden and significant decline of physical fitness and quality of life following lung resection. Good quality of survivorship care post-surgery is essential to optimize recovery and prevent unscheduled healthcare use. The use of Information and Communication Technology (ICT) can improve post-surgery care, as it enables frequent monitoring of health status in daily life, provides timely and personalized feedback to patients and professionals, and improves accessibility to rehabilitation programs. Despite its promises, implementation of telehealthcare applications is challenging, often hampered by non-acceptance of the developed service by its end-users. A promising approach is to involve the end-users early and continuously during the developmental process through a so-called user-centred design approach. The aim of this article is to report on this process of co-creation and evaluation of a multimodal ICT-supported cancer rehabilitation program with and for lung cancer patients treated with lung resection and their healthcare professionals (HCPs).",4/27/2016,10/7/2024 15:30,10/7/2024 15:30,10/7/2024 15:30,155,,1,16,,BMC Health Services Research,Co-creation of an ICT-supported cancer rehabilitation application for resected lung cancer survivors,,,,,,,,,,,,BioMed Central,,,,C:\Users\polly\Zotero\storage\5LFCZKLR\Timmerman et al. - 2016 - Co-creation of an ICT-supported cancer rehabilitation application for resected lung cancer survivors.pdf; C:\Users\polly\Zotero\storage\47HN5U46\s12913-016-1385-7.html,,,Cancer survivorship; Lung cancer; Rehabilitation; Telehealthcare; User-centered design approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3JHDWNUG,journalArticle,2014,"Schook, Romane Milia; Linssen, Cilia; Schramel, Franz MNH; Festen, Jan; Lammers, Ernst; Smit, Egbert F.; Postmus, Pieter E.; Westerman, Marjan J.",Why Do Patients and Caregivers Seek Answers From the Internet and Online Lung Specialists? A Qualitative Study,Journal of Medical Internet Research,,,10.2196/jmir.2842,https://www.jmir.org/2014/2/e37,"Background: Since its launch in 2003, the Dutch Lung Cancer Information Center&#8217;s (DLIC) website has become increasingly popular. The most popular page of the website is the section &#8220;Ask the Physician&#8221;, where visitors can ask an online lung specialist questions anonymously and receive an answer quickly. Most questions were not only asked by lung cancer patients but also by their informal caregivers. Most questions concerned specific information about lung cancer. Objective: Our goal was to explore the reasons why lung cancer patients and caregivers search the Internet for information and ask online lung specialists questions on the DLIC&#8217;s interactive page, &#8220;Ask the Physician&#8221;, rather than consulting with their own specialist. Methods: This research consisted of a qualitative study with semistructured telephone interviews about medical information-seeking behavior (eg, information needs, reasons for querying online specialists). The sample comprised 5 lung cancer patients and 20 caregivers who posed a question on the interactive page of the DLIC website. Results: Respondents used the Internet and the DLIC website to look for lung cancer&#8211;related information (general/specific to their personal situation) and to cope with cancer. They tried to achieve a better understanding of the information given by their own specialist and wanted to be prepared for the treatment trajectory and disease course. This mode of information supply helped them cope and gave them emotional support. The interactive webpage was also used as a second opinion. The absence of face-to-face contact made respondents feel freer to ask for any kind of information. By being able to pose a question instantly and receiving a relatively quick reply from the online specialist to urgent questions, respondents felt an easing of their anxiety as they did not have to wait until the next consultation with their own specialist. Conclusions: The DLIC website with its interactive page is a valuable complementary mode of information supply and supportive care for lung cancer patients and caregivers.",2/4/2014,10/7/2024 15:34,10/7/2024 15:34,10/7/2024 15:34,e2842,,2,16,,,Why Do Patients and Caregivers Seek Answers From the Internet and Online Lung Specialists?,,,,,,,EN,,,,,www.jmir.org,,"Company: Journal of Medical Internet Research Distributor: Journal of Medical Internet Research Institution: Journal of Medical Internet Research Label: Journal of Medical Internet Research Publisher: JMIR Publications Inc., Toronto, Canada",,C:\Users\polly\Zotero\storage\IYTYVVDB\Schook et al. - 2014 - Why Do Patients and Caregivers Seek Answers From the Internet and Online Lung Specialists A Qualita.pdf; C:\Users\polly\Zotero\storage\C6P6SEP6\e37.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8MUS6MYX,journalArticle,2022,"Misplon, Sarah; Marneffe, Wim; Himpe, Ulrike; Hellings, Johan; Demedts, Ingel",Evaluation of the implementation of Value-Based Healthcare with a weekly digital follow-up of lung cancer patients in clinical practice,European Journal of Cancer Care,,1365-2354,10.1111/ecc.13653,https://onlinelibrary.wiley.com/doi/abs/10.1111/ecc.13653,"Objective The aim of this study was to evaluate the implementation of Value-Based Healthcare principles for lung cancer patients in a large Belgian hospital. This hospital implemented a digital platform for the collection of patient-reported outcomes and the standardisation of care pathways. Also, a follow-up by the multidisciplinary care team was put in place. Methods Evaluation was done by employing a mixed method approach with data analysis of all included patients (n = 201), a pilot study (n = 30) and semi-structured interviews with the care team (n = 5). Results Overall, 95% of all lung cancer patients of two thoracic oncologists agreed to participate in the digital follow-up during the period January 2018 to September 2020 (201 participating patients). The response rates of those patients were high: 92% of the weekly questionnaires and 90% of the 6-weekly ICHOM questionnaires were responded. Based on the pilot study, we conclude that questions are clear and the platform is user-friendly for 90% of patients in the pilot. The interviews revealed that the weekly follow-up has a positive impact on the patient–provider communication and makes it easier to discuss psychological and palliative care needs. Conclusion This study shows a successful implementation of Value Based Healthcare with weekly digital follow-up. Clinical trial registration is as follows: www.clinicaltrials.gov, NCT04712149.",2022,10/7/2024 15:36,10/7/2024 15:36,10/7/2024 15:36,e13653,,6,31,,,,,,,,,,en,© 2022 John Wiley & Sons Ltd.,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/ecc.13653,,C:\Users\polly\Zotero\storage\JGE6RUM3\Misplon et al. - 2022 - Evaluation of the implementation of Value-Based Healthcare with a weekly digital follow-up of lung c.pdf,,,quality of care; quality of life; lung cancer; needs assessment; patient reported outcome measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHQQ4F5V,journalArticle,2021,"Mouillet, Guillaume; Falcoz, Antoine; Fritzsch, Joëlle; Almotlak, Hamadi; Jacoulet, Pascale; Pivot, Xavier; Villanueva, Cristian; Mansi, Laura; Kim, Stefano; Curtit, Elsa; Meneveau, Nathalie; Adotevi, Olivier; Jary, Marine; Eberst, Guillaume; Vienot, Angelique; Calcagno, Fabien; Pozet, Astrid; Djoumakh, Oumelkheir; Borg, Christophe; Westeel, Virginie; Anota, Amélie; Paget-Bailly, Sophie",Feasibility of health-related quality of life (HRQoL) assessment for cancer patients using electronic patient-reported outcome (ePRO) in daily clinical practice,Quality of Life Research,,1573-2649,10.1007/s11136-020-02721-0,https://doi.org/10.1007/s11136-020-02721-0,Routine Electronic Monitoring of Health-Related Quality of Life (HRQoL) (REMOQOL) in clinical care with real-time feedback to physicians could help to enhance patient-centered care. We evaluated the feasibility of REMOQOL in the French context in the QOLIBRY study. The primary objective was to assess the patients’ compliance with REMOQOL.,11/1/2021,10/7/2024 15:40,10/7/2024 15:40,10/7/2024 15:40,3255-3266,,11,30,,Qual Life Res,,,,,,,,en,,,,,Springer Link,,,,C:\Users\polly\Zotero\storage\H4DX6C39\Mouillet et al. - 2021 - Feasibility of health-related quality of life (HRQoL) assessment for cancer patients using electroni.pdf,,,Oncology; Clinical practice; Electronic questionnaire; Health-related quality of life; Patient-centered care; Patient-reported outcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMRT5UIF,journalArticle,2020,"Lafaro, Kelly J.; Raz, Dan J.; Kim, Jae Y.; Hite, Sherry; Ruel, Nora; Varatkar, Gouri; Erhunmwunsee, Loretta; Melstrom, Laleh; Lee, Byrne; Singh, Gagandeep; Fong, Yuman; Sun, Virginia",Pilot study of a telehealth perioperative physical activity intervention for older adults with cancer and their caregivers,Supportive Care in Cancer,,1433-7339,10.1007/s00520-019-05230-0,https://doi.org/10.1007/s00520-019-05230-0,"Older adults undergoing cancer surgery are at greater risk for poor postoperative outcomes. Caregivers also endure significant burden. Participation in perioperative physical activity may improve physical functioning and enhance overall well-being for both patients and caregivers. In this study, we assessed the feasibility of a personalized telehealth intervention to enhance physical activity for older (≥ 65 years) gastrointestinal (GI) and lung cancer surgery patients/caregivers.",8/1/2020,10/7/2024 15:40,10/7/2024 15:40,10/7/2024 15:40,3867-3876,,8,28,,Support Care Cancer,,,,,,,,en,,,,,Springer Link,,,,C:\Users\polly\Zotero\storage\VZQASDFL\Lafaro et al. - 2020 - Pilot study of a telehealth perioperative physical activity intervention for older adults with cance.pdf,,,Physical activity; Family caregiver; Geriatrics; Telehealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXZFHCU5,journalArticle,2017,"Rose, Pamela; Quail, Heather; McPhelim, John; Simpson, Mhairi",Experiences and outcomes of lung cancer patients using electronic assessments,Cancer Nursing Practice,,"1475-4266, 2047-8933",10.7748/cnp.2017.e1434,https://journals.rcni.com/doi/10.7748/cnp.2017.e1434,"The NHS Lanarkshire Lung Cancer Project is part of the Transforming Care after Treatment programme, a partnership between the Scottish Government, Macmillan Cancer Support, NHS Scotland and local authorities, to support a redesign of care following active treatment for cancer. More people are living with lung cancer, but it continues to have a poor prognosis, therefore followup care is vital and all patient needs, not just medical, must be addressed appropriately. This article outlines a two-year project that aims to influence changes in follow up for patients with lung cancer, through the testing of digital health technology. The article reports the interim results of the project, which suggest that using electronic patient reported outcome measures, combined with telephone consultations, are acceptable methods of identifying and supporting patients’ needs.",9/12/2017,10/7/2024 15:40,10/7/2024 15:40,10/7/2024 15:40,26-30,,7,16,,,,,,,,,,en,,,,,DOI.org (Crossref),,,,C:\Users\polly\Zotero\storage\CZG5Z52M\Rose et al. - 2017 - Experiences and outcomes of lung cancer patients using electronic assessments.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS2CIV7K,journalArticle,2007,"Schneider, Susan M.; Hood, Linda E.",Virtual Reality: A Distraction Intervention for Chemotherapy,Oncology nursing forum,,0190-535X,10.1188/07.ONF.39-46,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2121303/,"Purpose/Objectives  To explore virtual reality (VR) as a distraction intervention to relieve symptom distress in adults receiving chemotherapy treatments for breast, colon, and lung cancer. Design  Crossover design in which participants served as their own control. Setting  Outpatient clinic at a comprehensive cancer center in the southeastern United States. Sample  123 adults receiving initial chemotherapy treatments. Methods  Participants were randomly assigned to receive the VR distraction intervention during one chemotherapy treatment and then received no intervention (control) during an alternate matched chemotherapy treatment. The Adapted Symptom Distress Scale–2, Revised Piper Fatigue Scale, and State Anxiety Inventory were used to measure symptom distress. The Presence Questionnaire and an open-ended questionnaire were used to evaluate the subjects’ VR experience. The influence of type of cancer, age, and gender on symptom outcomes was explored. Mixed models were used to test for differences in levels of symptom distress. Main Research Variables  Virtual reality and symptom distress. Findings  Patients had an altered perception of time (p < 0.001) when using VR, which validates the distracting capacity of the intervention. Evaluation of the intervention indicated that patients believed the head-mounted device was easy to use, they experienced no cybersickness, and 82% would use VR again. However, analysis demonstrated no significant differences in symptom distress immediately or two days following chemotherapy treatments. Conclusions  Patients stated that using VR made the treatment seem shorter and that chemotherapy treatments with VR were better than treatments without the distraction intervention. However, positive experiences did not result in a decrease in symptom distress. The findings support the idea that using VR can help to make chemotherapy treatments more tolerable, but clinicians should not assume that use of VR will improve chemotherapy-related symptoms. Implications for Nursing  Patients found using VR during chemotherapy treatments to be enjoyable. VR is a feasible and cost-effective distraction intervention to implement in the clinical setting.",2007-01,10/7/2024 15:43,10/7/2024 15:43,10/7/2024 15:43,39-46,,1,34,,Oncol Nurs Forum,Virtual Reality,,,,,,,,,,,,PubMed Central,,PMID: 17562631 PMCID: PMC2121303,,C:\Users\polly\Zotero\storage\CE423ZKC\Schneider and Hood - 2007 - Virtual Reality A Distraction Intervention for Chemotherapy.pdf; ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2121303/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
